,cat,word/character,pronunciation,definition,code,alt,full_pronunciation
1280,514,推,tuī,push,s,,tuī
1281,514,推,tuī,push,t,,tuī
1282,515,晚,wǎn,late,s,,wǎn
1283,515,晚,wǎn,late,t,,wǎn
1284,516,响,xiǎng,sound,s,,xiǎng
1285,516,響,xiǎng,sound,t,,xiǎng
1286,517,称,chēng,"weigh, name",s,,chēng
1287,517,稱,chēng,"weigh, name",t,,chēng
1288,518,兴,xìng,高兴 gāoxìng glad,s,,xìng
1289,518,興,xìng,高興 gāoxìng glad,t,,xìng
1290,519,待,dài,"treat, entertain, wait for",s,,dài
1291,519,待,dài,"treat, entertain, wait for",t,,dài
1292,519,待,dāi,(Equivalent:  呆 dāi) stay,s,,dāi
1293,519,待,dāi,(Equivalent:  呆 dāi) stay,t,,dāi
1294,520,约,yuē,"approximately, arrange, appointment",s,,yuē
1295,520,約,yuē,"approximately, arrange, appointment",t,,yuē
1296,520,约,yāo,weigh,s,,yāo
1297,520,約,yāo,weigh,t,,yāo
1298,521,阳,yáng,opposite of 阴 yīn,s,,yáng
1299,521,陽,yáng,opposite of 陰 yīn,t,,yáng
1300,522,哥,gē,(Equivalent:  哥哥 gēge) older brother,s,,gē
1301,522,哥,gē,(Equivalent:  哥哥 gēge) older brother,t,,gē
1302,523,惊,jīng,surprise,s,,jīng
1303,523,驚,jīng,surprise,t,,jīng
1304,524,吗,ma,<interrogative particle>,s,,ma
1305,524,嗎,ma,<interrogative particle>,t,,ma
1306,524,吗,má,what,s,,má
1307,524,嗎,má,what,t,,má
1308,525,整,zhěng,(Equivalent:  整个 zhěnggè) whole,s,,zhěng
1309,525,整,zhěng,(Equivalent:  整個 zhěnggè) whole,t,,zhěng
1310,526,支,zhī,"branch, support",s,,zhī
1311,526,支,zhī,"branch, support",t,,zhī
1312,527,古,gǔ,(Equivalent:  古代 gǔdài) ancient{Compare with 舌 shé tongue},s,,gǔ
1313,527,古,gǔ,(Equivalent:  古代 gǔdài) ancient{Compare with 舌 shé tongue},t,,gǔ
1314,528,汉,hàn,Chinese ethnicity,s,,hàn
1315,528,漢,hàn,Chinese ethnicity,t,,hàn
1316,529,突,tū,"charge forward, stick out",s,,tū
1317,529,突,tū,"charge forward, stick out",t,,tū
1318,530,号,hào,"name, number, mark",s,,hào
1319,530,號,hào,"name, number, mark",t,,hào
1320,530,号,háo,yell,s,,háo
1321,530,號,háo,yell,t,,háo
1322,531,绝,jué,"cut off, absolute",s,,jué
1323,531,絕,jué,"cut off, absolute",t,,jué
1324,532,选,xuǎn,"(Equivalent:  选择 xuǎnzé) choose, select",s,,xuǎn
1325,532,選,xuǎn,"(Equivalent:  選擇 xuǎnzé) choose, select",t,,xuǎn
1326,533,吧,ba,"at end of sentence, indicates suggestion",s,,ba
1327,533,吧,ba,"at end of sentence, indicates suggestion",t,,ba
1328,533,吧,bā,snap!,s,,bā
1329,533,吧,bā,snap!,t,,bā
1330,534,参,cān,参加 cānjiā participate,s,,cān
1331,534,參,cān,參加 cānjiā participate,t,,cān
1332,535,刊,kān,"periodical, publication",s,,kān
1333,535,刊,kān,"periodical, publication",t,,kān
1334,536,亚,yà,"inferior, second",s,,yà
1335,536,亞,yà,"inferior, second",t,,yà
1336,537,復,fù,恢復 huīfù recover,t,,fù
1337,537,複,fù,複雜 fùzá complicated,t,,fù
1338,537,覆,fù,cover,t,,fù
1339,537,复,fù,"(Traditional: 复) 恢复 huīfù recover, (Traditional: 复) 复杂 fùzá complicated, complex, (Traditional: 覆) cover",s,,fù
1340,538,伤,shāng,"wound, injury, injure",s,,shāng
1341,538,傷,shāng,"wound, injury, injure",t,,shāng
1342,539,类,lèi,"category, kind, type",s,,lèi
1343,539,類,lèi,"category, kind, type",t,,lèi
1344,540,备,bèi,"(Equivalent:  准备 zhǔnbèi) get ready, prepare",s,,bèi
1345,540,備,bèi,"(Equivalent:  準備 zhǔnbèi) get ready, prepare",t,,bèi
1346,541,欢,huān,"(Equivalent:  欢乐 huānlè) happy, joyous",s,,huān
1347,541,歡,huān,"(Equivalent:  歡樂 huānlè) happy, joyous",t,,huān
1348,542,另,lìng,other,s,,lìng
1349,542,另,lìng,other,t,,lìng
1350,543,港,gǎng,harbor,s,,gǎng
1351,543,港,gǎng,harbor,t,,gǎng
1352,544,势,shì,power,s,,shì
1353,544,勢,shì,power,t,,shì
1354,545,刻,kè,"carve, quarter hour, moment",s,,kè
1355,545,刻,kè,"carve, quarter hour, moment",t,,kè
1356,546,星,xīng,star,s,,xīng
1357,546,星,xīng,star,t,,xīng
1358,547,断,duàn,cut off,s,,duàn
1359,547,斷,duàn,cut off,t,,duàn
1360,548,陈,chén,"display, explain, stale, (dynasty 557-589)",s,,chén
1361,548,陳,chén,"display, explain, stale, (dynasty 557-589)",t,,chén
1362,549,掌,zhǎng,palm of the hand,s,,zhǎng
1363,549,掌,zhǎng,palm of the hand,t,,zhǎng
1364,550,农,nóng,"(Equivalent:  农民 nóngmín) farmer, peasant",s,,nóng
1365,550,農,nóng,"(Equivalent:  農民 nóngmín) farmer, peasant",t,,nóng
1366,551,夜,yè,(Equivalent:  夜晚 yèwǎn) night,s,,yè
1367,551,夜,yè,(Equivalent:  夜晚 yèwǎn) night,t,,yè
1368,552,般,bān,"sort, kind",s,,bān
1369,552,般,bān,"sort, kind",t,,bān
1370,552,般,pán,happy,s,,pán
1371,552,般,pán,happy,t,,pán
1372,553,念,niàn,"miss, read aloud",s,,niàn
1373,553,唸,niàn,"miss, read aloud",t,,niàn
1374,554,價,jià,(Equivalent:  價值 jiàzhí,t,,jià
1375,554,价,jià,"(Traditional: 价) (Equivalent:  价值 jiàzhí) value, (Equivalent:  价钱 jiàqian) price",s,,jià
1376,554,價,jie,,t,,jie
1377,554,价,jie,(Traditional: 价),s,,jie
1378,554,价,jiè,servant,s,,jiè
1379,554,價,jiè,servant,t,,jiè
1380,555,脑,nǎo,(Equivalent:  脑子 nǎozi) brain,s,,nǎo
1381,555,腦,nǎo,(Equivalent:  腦子 nǎozi) brain,t,,nǎo
1382,556,规,guī,规律 guīlǜ regular pattern,s,,guī
1383,556,規,guī,規律 guīlǜ regular pattern,t,,guī
1384,557,底,dǐ,bottom,s,,dǐ
1385,557,底,dǐ,bottom,t,,dǐ
1386,558,故,gù,"cause, therefore",s,,gù
1387,558,故,gù,"cause, therefore",t,,gù
1388,559,省,shěng,"province, economize, omit",s,,shěng
1389,559,省,shěng,"province, economize, omit",t,,shěng
1390,560,妈,mā,"mother, mom",s,,mā
1391,560,媽,mā,"mother, mom",t,,mā
1392,561,刚,gāng,"firm, (Equivalent:  刚才 gāngcái) just (a moment ago)",s,,gāng
1393,561,剛,gāng,"firm, (Equivalent:  剛纔 gāngcái) just (a moment ago)",t,,gāng
1394,562,句,jù,sentence,s,,jù
1395,562,句,jù,sentence,t,,jù
1396,563,显,xiǎn,appear,s,,xiǎn
1397,563,顯,xiǎn,appear,t,,xiǎn
1398,564,消,xiāo,disappear,s,,xiāo
1399,564,消,xiāo,disappear,t,,xiāo
1400,565,衣,yī,(Equivalent:  衣服 yīfu) clothing,s,,yī
1401,565,衣,yī,(Equivalent:  衣服 yīfu) clothing,t,,yī
1402,565,衣,yì,"wear (clothing), give (clothing) to others to wear",s,,yì
1403,565,衣,yì,"wear (clothing), give (clothing) to others to wear",t,,yì
1404,566,陆,lù,land,s,,lù
1405,566,陸,lù,land,t,,lù
1406,566,陆,liù,six (Equivalent:   六 liù),s,,liù
1407,566,陸,liù,six (Equivalent:   六 liù),t,,liù
1408,567,器,qì,"utensil, (Equivalent:  机器 jīqi) machine",s,,qì
1409,567,器,qì,"utensil, (Equivalent:  機器 jīqi) machine",t,,qì
1410,568,确,què,true,s,,què
1411,568,確,què,true,t,,què
1412,569,破,pò,smash,s,,pò
1413,569,破,pò,smash,t,,pò
1414,570,具,jù,工具 gōngjù tool,s,,jù
1415,570,具,jù,工具 gōngjù tool,t,,jù
1416,571,居,jū,"(Equivalent:  居住 jūzhù) live, reside",s,,jū
1417,571,居,jū,"(Equivalent:  居住 jūzhù) live, reside",t,,jū
1418,572,批,pī,"<classifier for a batch/lot>, comment, criticize, refute",s,,pī
1419,572,批,pī,"<classifier for a batch/lot>, comment, criticize, refute",t,,pī
1420,573,送,sòng,"see somebody off, deliver, give",s,,sòng
1421,573,送,sòng,"see somebody off, deliver, give",t,,sòng
1422,574,泽,zé,"沼泽 zhǎozé marsh, swamp",s,,zé
1423,574,澤,zé,"沼澤 zhǎozé marsh, swamp",t,,zé
1424,575,紧,jǐn,tight,s,,jǐn
1425,575,緊,jǐn,tight,t,,jǐn
1426,576,帮,bāng,"(Equivalent:  帮助 bāngzhù, 帮忙 bāngmáng) help, gang",s,,bāng
1427,576,幫,bāng,"(Equivalent:  幫助 bāngzhù, 幫忙 bāngmáng) help, gang",t,,bāng
1428,577,线,xiàn,"line, thread",s,,xiàn
1429,577,線,xiàn,"line, thread",t,,xiàn
1430,578,存,cún,(Equivalent:  存在 cúnzài) exist,s,,cún
1431,578,存,cún,(Equivalent:  存在 cúnzài) exist,t,,cún
1432,579,愿,yuàn,wish,s,,yuàn
1433,579,願,yuàn,wish,t,,yuàn
1434,580,奇,qí,"marvellous, (Equivalent:  希奇 xīqí) rare, strange",s,,qí
1435,580,奇,qí,"marvellous, (Equivalent:  希奇 xīqí) rare, strange",t,,qí
1436,580,奇,jī,odd (not even),s,,jī
1437,580,奇,jī,odd (not even),t,,jī
1438,581,害,hài,harmful,s,,hài
1439,581,害,hài,harmful,t,,hài
1440,582,增,zēng,"(Equivalent:  增加 zēngjiā, =增长 zēngzhǎng) increase",s,,zēng
1441,582,增,zēng,"(Equivalent:  增加 zēngjiā, =增長 zēngzhǎng) increase",t,,zēng
1442,583,杨,yáng,poplar tree,s,,yáng
1443,583,楊,yáng,poplar tree,t,,yáng
1444,584,料,liào,"(Equivalent:  材料 cáiliào) material, expect, anticipate",s,,liào
1445,584,料,liào,"(Equivalent:  材料 cáiliào) material, expect, anticipate",t,,liào
1446,585,州,zhōu,prefecture,s,,zhōu
1447,585,州,zhōu,prefecture,t,,zhōu
1448,586,节,jié,"joint, section, festival, holiday, (Equivalent:  节日 jiérì) holiday",s,,jié
1449,586,節,jié,"joint, section, festival, holiday, (Equivalent:  節日 jiérì) holiday",t,,jié
1450,586,节,jiē,"knot, link",s,,jiē
1451,586,節,jiē,"knot, link",t,,jiē
1452,587,左,zuǒ,left,s,,zuǒ
1453,587,左,zuǒ,left,t,,zuǒ
1454,588,装,zhuāng,"dress up, load, install, (Equivalent:  假装 jiǎzhuāng) pretend",s,,zhuāng
1455,588,裝,zhuāng,"dress up, load, install, (Equivalent:  假裝 jiǎzhuāng) pretend",t,,zhuāng
1456,589,易,yì,"(Equivalent:  容易 róngyì) easy, change",s,,yì
1457,589,易,yì,"(Equivalent:  容易 róngyì) easy, change",t,,yì
1458,590,著,zhù,"write, book",s,,zhù
1459,590,著,zhù,"write, book",t,,zhù
1460,590,著,zhe,(Simplified:  着),s,,zhe
1461,590,著,zhe,(Simplified:  着),t,,zhe
1462,590,著,zháo,(Simplified:  着),s,,zháo
1463,590,著,zháo,(Simplified:  着),t,,zháo
1464,590,著,zhuó,(Simplified:  着),s,,zhuó
1465,590,著,zhuó,(Simplified:  着),t,,zhuó
1466,590,著,zhāo,(Simplified:  着),s,,zhāo
1467,590,著,zhāo,(Simplified:  着),t,,zhāo
1468,591,急,jí,urgent,s,,jí
1469,591,急,jí,urgent,t,,jí
1470,592,久,jiǔ,(for a) long time,s,,jiǔ
1471,592,久,jiǔ,(for a) long time,t,,jiǔ
1472,593,低,dī,low,s,,dī
1473,593,低,dī,low,t,,dī
1474,594,岁,suì,years old,s,,suì
1475,594,歲,suì,years old,t,,suì
1476,595,需,xū,(Equivalent:  需要 xūyào) need,s,,xū
1477,595,需,xū,(Equivalent:  需要 xūyào) need,t,,xū
1478,596,酒,jiǔ,wine,s,,jiǔ
1479,596,酒,jiǔ,wine,t,,jiǔ
1480,596,啤酒,jiǔ, píjiǔ beer,s,,píjiǔ
1481,596,啤酒,jiǔ,啤酒 píjiǔ beer,t,,píjiǔ
1482,597,河,hé,river,s,,hé
1483,597,河,hé,river,t,,hé
1484,598,初,chū,"beginning, first (in order)",s,,chū
1485,598,初,chū,"beginning, first (in order)",t,,chū
1486,599,游,yóu,"(Equivalent:  游泳 yóuyǒng) swim, (Equivalent:  旅游 lǚyóu) travel",s,,yóu
1487,599,游,yóu,"(Equivalent:  游泳 yóuyǒng) swim, (Equivalent:  旅游 lǚyóu) travel",t,,yóu
1488,600,严,yán,"severe, stern",s,,yán
1489,600,嚴,yán,"severe, stern",t,,yán
1490,601,铁,tiě,iron,s,,tiě
1491,601,鐵,tiě,iron,t,,tiě
1492,602,族,zú,"(Equivalent:  民族 mínzú) people, nationality, (Equivalent:  种族 zhǒngzú) race",s,,zú
1493,602,族,zú,"(Equivalent:  民族 mínzú) people, nationality, (Equivalent:  種族 zhǒngzú) race",t,,zú
1494,603,除,chú,"get rid of, divide, (Equivalent:  除了 chúle) except",s,,chú
1495,603,除,chú,"get rid of, divide, (Equivalent:  除了 chúle) except",t,,chú
1496,604,份,fèn,"portion, share, copy, <classifier for portion, share, copies of newspapers etc.>, college degree",s,,fèn
1497,604,份,fèn,"portion, share, copy, <classifier for portion, share, copies of newspapers etc.>, college degree",t,,fèn
1498,605,敢,gǎn,dare,s,,gǎn
1499,605,敢,gǎn,dare,t,,gǎn
1500,606,胡,hú,"recklessly (胡说 nonsense), beard/whiskers",s,,hú
1501,606,胡,hú,recklessly (胡說 nonsense),t,,hú
1502,606,鬍,hú,beard/whiskers,t,,hú
1503,607,血,xuè,blood,s,,xuè
1504,607,血,xuè,blood,t,,xuè
1505,607,血,xiě,blood,s,,xiě
1506,607,血,xiě,blood,t,,xiě
1507,608,企,qǐ,"stand on tiptoe, hope for, look forward to",s,,qǐ
1508,608,企,qǐ,"stand on tiptoe, hope for, look forward to",t,,qǐ
1509,608,企鹅,qǐ,qǐÉ penguin,s,,qǐÉ
1510,608,企鵝,qǐ,qǐÉ penguin,t,,qǐÉ
1511,609,仍,réng,"(Equivalent:  仍然 réngrán, =仍旧 réngjiù) still, yet, as before",s,,réng
1512,609,仍,réng,"(Equivalent:  仍然 réngrán, =仍舊 réngjiù) still, yet, as before",t,,réng
1513,610,投,tóu,throw,s,,tóu
1514,610,投,tóu,throw,t,,tóu
1515,611,闻,wén,"smell, hear",s,,wén
1516,611,聞,wén,"smell, hear",t,,wén
1517,612,斗,dǒu,10 liters,s,,dǒu
1518,612,鬥,dǒu,10 liters,t,,dǒu
1519,612,鬥,dòu,fight,t,,dòu
1520,612,斗,dòu,(Traditional: 斗) fight,s,,dòu
1521,613,纪,jì,世纪 shìjì century,s,,jì
1522,613,紀,jì,世紀 shìjì century,t,,jì
1523,613,纪,Jǐ,<family name>,s,,Jǐ
1524,613,紀,Jǐ,<family name>,t,,Jǐ
1525,614,脚,jiǎo,foot,s,,jiǎo
1526,614,腳,jiǎo,foot,t,,jiǎo
1527,614,脚趾,jiǎo, jiǎozhǐ toe,s,,jiǎozhǐ
1528,614,腳趾,jiǎo,腳趾 jiǎozhǐ toe,t,,jiǎozhǐ
1529,614,脚,jué,"(Equivalent:  角 jiǎo) role, part, character, actor, actress",s,,jué
1530,614,腳,jué,"(Equivalent:  角 jiǎo) role, part, character, actor, actress",t,,jué
1531,615,右,yòu,right,s,,yòu
1532,615,右,yòu,right,t,,yòu
1533,616,苏,sū,苏醒 sūxǐng revive,s,,sū
1534,616,蘇,sū,蘇醒 sūxǐng revive,t,,sū
1535,617,标,biāo,mark,s,,biāo
1536,617,標,biāo,mark,t,,biāo
1537,618,饭,fàn,"rice, food",s,,fàn
1538,618,飯,fàn,"rice, food",t,,fàn
1539,619,雲,yún,(Equivalent:  雲彩 yúncai,t,,yún
1540,619,云,yún,"say, (Traditional: 云) (Equivalent:  云彩 yúncai) cloud",s,,yún
1541,620,病,bìng,sick,s,,bìng
1542,620,病,bìng,sick,t,,bìng
1543,621,医,yī,(Equivalent:  医学 yīxué) medical science,s,,yī
1544,621,醫,yī,(Equivalent:  醫學 yīxué) medical science,t,,yī
1545,622,阿,ā,阿拉伯 ?lābó Arab,s,,ā
1546,622,阿,ā,阿拉伯 ?lābó Arab,t,,ā
1547,623,答,dá,(Equivalent:  回答 huídá) answer,s,,dá
1548,623,答,dá,(Equivalent:  回答 huídá) answer,t,,dá
1549,624,土,tǔ,"earth, (Equivalent:  土地 tǔdì) land, (Equivalent:  土壤 tǔrǎng) soil{Compare with 士 shì scholar}",s,,tǔ
1550,624,土,tǔ,"earth, (Equivalent:  土地 tǔdì) land, (Equivalent:  土壤 tǔrǎng) soil{Compare with 士 shì scholar}",t,,tǔ
1551,625,况,kuàng,情况 qíngkuàng circumstances,s,,kuàng
1552,625,況,kuàng,情況 qíngkuàng circumstances,t,,kuàng
1553,626,境,jìng,"border, territory",s,,jìng
1554,626,境,jìng,"border, territory",t,,jìng
1555,627,软,ruǎn,soft,s,,ruǎn
1556,627,軟,ruǎn,soft,t,,ruǎn
1557,628,考,kǎo,"(Equivalent:  考虑 kǎolǜ) consider, (Equivalent:  考试 kǎoshì) exam",s,,kǎo
1558,628,考,kǎo,"(Equivalent:  考慮 kǎolǜ) consider, (Equivalent:  考試 kǎoshì) exam",t,,kǎo
1559,629,娘,niáng,"mother, aunt",s,,niáng
1560,629,娘,niáng,"mother, aunt",t,,niáng
1561,630,村,cūn,"village, rustic",s,,cūn
1562,630,村,cūn,"village, rustic",t,,cūn
1563,631,刀,dāo,knife,s,,dāo
1564,631,刀,dāo,knife,t,,dāo
1565,632,击,jī,"beat, strike, knock",s,,jī
1566,632,擊,jī,"beat, strike, knock",t,,jī
1567,633,仅,jǐn,"(Equivalent:  仅仅 jǐnjǐn) only, barely",s,,jǐn
1568,633,僅,jǐn,"(Equivalent:  僅僅 jǐnjǐn) only, barely",t,,jǐn
1569,634,查,chá,"examine, investigate",s,,chá
1570,634,查,chá,"examine, investigate",t,,chá
1571,634,查,Zhā,<family name>,s,,Zhā
1572,634,查,Zhā,<family name>,t,,Zhā
1573,635,引,yǐn,"draw, stretch, (Equivalent:  引起 yǐnqǐ) cause, (Equivalent:  吸引 xīyǐn) attract",s,,yǐn
1574,635,引,yǐn,"draw, stretch, (Equivalent:  引起 yǐnqǐ) cause, (Equivalent:  吸引 xīyǐn) attract",t,,yǐn
1575,636,朝,cháo,"towards, dynasty",s,,cháo
1576,636,朝,cháo,"towards, dynasty",t,,cháo
1577,636,朝,zhāo,(morning),s,,zhāo
1578,636,朝,zhāo,(morning),t,,zhāo
1579,637,育,yù,"raise, educate",s,,yù
1580,637,育,yù,"raise, educate",t,,yù
1581,638,续,xù,(Equivalent:  继续 jìxù) continue,s,,xù
1582,638,續,xù,(Equivalent:  繼續 jìxù) continue,t,,xù
1583,639,独,dú,"only, alone",s,,dú
1584,639,獨,dú,"only, alone",t,,dú
1585,640,罗,luó,(Equivalent:  罗网 luówǎng) birdnet,s,,luó
1586,640,羅,luó,(Equivalent:  羅網 luówǎng) birdnet,t,,luó
1587,640,罗嗦,luō," luōsuo wordy, troublesome",s,,luōsuo
1588,640,羅嗦,luō,"羅嗦 luōsuo wordy, troublesome",t,,luōsuo
1589,641,买,mǎi,buy,s,,mǎi
1590,641,買,mǎi,buy,t,,mǎi
1591,642,户,hù,"door, household",s,,hù
1592,642,戶,hù,"door, household",t,,hù
1593,643,护,hù,"(Equivalent:  保护 bǎohù) guard, protect",s,,hù
1594,643,護,hù,"(Equivalent:  保護 bǎohù) guard, protect",t,,hù
1595,644,喝,hē,drink,s,,hē
1596,644,喝,hē,drink,t,,hē
1597,644,喝,hè,shout,s,,hè
1598,644,喝,hè,shout,t,,hè
1599,645,朋,péng,朋友 péngyǒu friend{Compare with 丽 lì beautiul and 册 cè book},s,,péng
1600,645,朋,péng,朋友 péngyǒu friend{Compare with 麗 lì beautiul and 冊 cè book},t,,péng
1601,646,供,gōng,supply,s,,gōng
1602,646,供,gōng,supply,t,,gōng
1603,646,供,gòng,confess,s,,gòng
1604,646,供,gòng,confess,t,,gòng
1605,647,责,zé,duty,s,,zé
1606,647,責,zé,duty,t,,zé
1607,648,项,xiàng,(Equivalent:  项目 xiàngmù) item,s,,xiàng
1608,648,項,xiàng,(Equivalent:  項目 xiàngmù) item,t,,xiàng
1609,649,背,bèi,back,s,,bèi
1610,649,背,bèi,back,t,,bèi
1611,649,背,bēi,carry on the back,s,,bēi
1612,649,背,bēi,carry on the back,t,,bēi
1613,650,餘,yú,left-over,t,,yú
1614,650,余,yú,"I, me, (Traditional: 余) left-over, extra",s,,yú
1615,651,希,xī,"sparse, scattered, watery, this",s,,xī
1616,651,希,xī,"sparse, scattered, watery, this",t,,xī
1617,652,卫,wèi,保卫 defend,s,,wèi
1618,652,衛,wèi,保衛 defend,t,,wèi
1619,653,列,liè,"column, line up",s,,liè
1620,653,列,liè,"column, line up",t,,liè
1621,654,图,tú,picture,s,,tú
1622,654,圖,tú,picture,t,,tú
1623,655,室,shì,room,s,,shì
1624,655,室,shì,room,t,,shì
1625,656,乱,luàn,"chaotic, disorderly, messy",s,,luàn
1626,656,亂,luàn,"chaotic, disorderly, messy",t,,luàn
1627,657,刘,Liú,<family name>,s,,Liú
1628,657,劉,Liú,<family name>,t,,Liú
1629,658,爷,yé,father,s,,yé
1630,658,爺,yé,father,t,,yé
1631,659,龙,lóng,dragon,s,,lóng
1632,659,龍,lóng,dragon,t,,lóng
1633,660,咱,zán,(Equivalent:  咱们 zánmen) we = you and I,s,,zán
1634,660,咱,zán,(Equivalent:  咱們 zánmen) we = you and I,t,,zán
1635,661,章,zhāng,"chapter, seal, stamp, medal, badge, rules",s,,zhāng
1636,661,章,zhāng,"chapter, seal, stamp, medal, badge, rules",t,,zhāng
1637,662,席,xí,"mat, seat, banquet",s,,xí
1638,662,席,xí,"mat, seat, banquet",t,,xí
1639,663,错,cuò,(Equivalent:  错误 cuòwù) mistake,s,,cuò
1640,663,錯,cuò,(Equivalent:  錯誤 cuòwù) mistake,t,,cuò
1641,664,兄,xiōng,(elder) brother,s,,xiōng
1642,664,兄,xiōng,(elder) brother,t,,xiōng
1643,665,暗,àn,(Equivalent:  黑暗 hēi'àn) dark,s,,àn
1644,665,暗,àn,(Equivalent:  黑暗 hēi'àn) dark,t,,àn
1645,666,创,chuàng,创造 chuàngzào create,s,,chuàng
1646,666,創,chuàng,創造 chuàngzào create,t,,chuàng
1647,667,排,pái,"arrange, row, line",s,,pái
1648,667,排,pái,"arrange, row, line",t,,pái
1649,668,春,chūn,"(Equivalent:  春天 chūntiān, =春季 chūnjì) spring",s,,chūn
1650,668,春,chūn,"(Equivalent:  春天 chūntiān, =春季 chūnjì) spring",t,,chūn
1651,669,須,xū,(Equivalent:  必須 bìxū,t,,xū
1652,669,鬚,xū,"(Equivalent:  鬍鬚) húxū, beard",t,,xū
1653,669,须,xū,"(Traditional: 须) (Equivalent:  必须 bìxū) must, (Traditional: 须) (Equivalent:  胡须 húxū) beard",s,,xū
1654,670,承,chéng,承认 chéngrèn admit,s,,chéng
1655,670,承,chéng,承認 chéngrèn admit,t,,chéng
1656,671,案,àn,"desk, (law) case",s,,àn
1657,671,案,àn,"desk, (law) case",t,,àn
1658,672,忙,máng,"hurry, busy",s,,máng
1659,672,忙,máng,"hurry, busy",t,,máng
1660,673,呼,hū,"shout, exhale",s,,hū
1661,673,呼,hū,"shout, exhale",t,,hū
1662,674,树,shù,tree,s,,shù
1663,674,樹,shù,tree,t,,shù
1664,675,痛,tòng,painful,s,,tòng
1665,675,痛,tòng,painful,t,,tòng
1666,676,沉,chén,to sink,s,,chén
1667,676,沉,chén,to sink,t,,chén
1668,677,啊,a,"(used as phrase suffix, indicating obviousness/impatience)",s,,a
1669,677,啊,a,"(used as phrase suffix, indicating obviousness/impatience)",t,,a
1670,677,啊,ā,(indicating elation),s,,ā
1671,677,啊,ā,(indicating elation),t,,ā
1672,677,啊,á,"(indicating doubt or questioning), huh?",s,,á
1673,677,啊,á,"(indicating doubt or questioning), huh?",t,,á
1674,677,啊,ǎ,(indicating puzzled surprise),s,,ǎ
1675,677,啊,ǎ,(indicating puzzled surprise),t,,ǎ
1676,677,啊,à,(indicating agreement/approval),s,,à
1677,677,啊,à,(indicating agreement/approval),t,,à
1678,678,灵,líng,"clever, spirit, soul, elf",s,,líng
1679,678,靈,líng,"clever, spirit, soul, elf",t,,líng
1680,679,职,zhí,duty,s,,zhí
1681,679,職,zhí,duty,t,,zhí
1682,680,乡,xiāng,"countryside, home town",s,,xiāng
1683,680,鄉,xiāng,"countryside, home town",t,,xiāng
1684,681,细,xì,thin,s,,xì
1685,681,細,xì,thin,t,,xì
1686,682,诉,sù,告诉 gàosu tell,s,,sù
1687,682,訴,sù,告訴 gàosu tell,t,,sù
1688,682,诉讼,sù, sùsòng lawsuit,s,,sùsòng
1689,682,訴訟,sù, sùsòng lawsuit,t,,sùsòng
1690,683,态,tài,form,s,,tài
1691,683,態,tài,form,t,,tài
1692,684,停,tíng,(Equivalent:  停止 tíngzhǐ) stop,s,,tíng
1693,684,停,tíng,(Equivalent:  停止 tíngzhǐ) stop,t,,tíng
1694,685,印,yìn,"(Equivalent:  印刷 yìnshuā) print, (Equivalent:  印章 yìnzhāng) seal",s,,yìn
1695,685,印,yìn,"(Equivalent:  印刷 yìnshuā) print, (Equivalent:  印章 yìnzhāng) seal",t,,yìn
1696,686,笔,bǐ,writing implement,s,,bǐ
1697,686,筆,bǐ,writing implement,t,,bǐ
1698,686,铅笔,bǐ, pencil,s,,Qiānbǐ
1699,686,鉛筆,bǐ,鉛筆 pencil,t,,Qiānbǐ
1700,687,夏,xià,(Equivalent:  夏天 xiàtiān) summer,s,,xià
1701,687,夏,xià,(Equivalent:  夏天 xiàtiān) summer,t,,xià
1702,688,助,zhù,(Equivalent:  帮助 bāngzhù) help,s,,zhù
1703,688,助,zhù,(Equivalent:  幫助 bāngzhù) help,t,,zhù
1704,689,福,fú,"blessing, good fortune, (Equivalent:  幸福 xìngfú) happiness, happy",s,,fú
1705,689,福,fú,"blessing, good fortune, (Equivalent:  幸福 xìngfú) happiness, happy",t,,fú
1706,690,块,kuài,"piece, lump, chunk, (Equivalent:  元 yuán) Chinese dollar",s,,kuài
1707,690,塊,kuài,"piece, lump, chunk, (Equivalent:  元 yuán) Chinese dollar",t,,kuài
1708,691,冷,lěng,cold,s,,lěng
1709,691,冷,lěng,cold,t,,lěng
1710,692,球,qiú,ball,s,,qiú
1711,692,球,qiú,ball,t,,qiú
1712,693,姑,gū,姑娘 gūniang girl,s,,gū
1713,693,姑,gū,姑娘 gūniang girl,t,,gū
1714,694,劃,huá,scratch,t,,huá
1715,694,划,huá,row (a boat) (Traditional: 划) scratch,s,,huá
1716,694,劃,huà,(Equivalent:  計劃 jìhuà,t,,huà
1717,694,划,huà,(Equivalent:  计划 jìhuà) plan,s,,huà
1718,695,既,jì,"since, already",s,,jì
1719,695,既,jì,"since, already",t,,jì
1720,696,质,zhì,"(Equivalent:  物质 wùzhì) matter, substance",s,,zhì
1721,696,質,zhì,"(Equivalent:  物質 wùzhì) matter, substance",t,,zhì
1722,697,巴,bā,尾巴 wěiba tail,s,,bā
1723,697,巴,bā,尾巴 wěiba tail,t,,bā
1724,698,致,zhì,"send, convey",s,,zhì
1725,698,緻,zhì,"send, convey",t,,zhì
1726,699,湾,wān,harbor,s,,wān
1727,699,灣,wān,harbor,t,,wān
1728,700,演,yǎn,"(Equivalent:  表演 biǎoyǎn) perform, act, performance",s,,yǎn
1729,700,演,yǎn,"(Equivalent:  錶演 biǎoyǎn) perform, act, performance",t,,yǎn
