,cat,word/character,pronunciation,definition,code,alt
2029,376,程,chéng,过程 guòchéng process,s,
2030,376,程,chéng,過程 guòchéng process,t,
2031,376,工程,chéng, gōngchéng engineering project,s,
2032,376,工程,chéng,工程 gōngchéng engineering project,t,
2033,376,程度,chéng," chéngdu level, degree, extent",s,
2034,376,程度,chéng,"程度 chéngdu level, degree, extent",t,
2035,377,告,gào,(Equivalent:  告诉 gàosu) tell,s,
2036,377,告,gào,(Equivalent:  告訴 gàosu) tell,t,
2037,377,报告,gào," bàogào report, make known",s,
2038,377,報告,gào,"報告 bàogào report, make known",t,
2039,377,告朔,gù, gùshuò distributing feudal calendar,s,
2040,377,告朔,gù,告朔 gùshuò distributing feudal calendar,t,
2041,378,江,jiāng,river,s,
2042,378,江,jiāng,river,t,
2043,378,长江,jiāng, Cháng Jiāng Yangtze River,s,
2044,378,長江,jiāng,長江 Cháng Jiāng Yangtze River,t,
2045,378,江山,jiāng, jiāngshān landscape,s,
2046,378,江山,jiāng,江山 jiāngshān landscape,t,
2047,379,语,yǔ,(Equivalent:  语言 yǔyán) language,s,
2048,379,語,yǔ,(Equivalent:  語言 yǔyán) language,t,
2049,379,汉语,yǔ, Hànyǔ Chinese,s,
2050,379,漢語,yǔ,漢語 Hànyǔ Chinese,t,
2051,379,语法,yǔ, yǔfǎ grammar,s,
2052,379,語法,yǔ,語法 yǔfǎ grammar,t,
2053,379,成语,yǔ, chéngyǔ idiom,s,
2054,379,成語,yǔ,成語 chéngyǔ idiom,t,
2055,379,语,yù,tell,s,
2056,379,語,yù,tell,t,
2057,380,英,yīng,"brave, outstanding person, (Equivalent:  英雄 yīngxióng) hero",s,
2058,380,英,yīng,"brave, outstanding person, (Equivalent:  英雄 yīngxióng) hero",t,
2059,380,英国,yīng, Yīngguó England,s,
2060,380,英國,yīng,英國 Yīngguó England,t,
2061,381,基,jī,"基础 jīchǔ base, foundation",s,
2062,381,基,jī,"基礎 jīchǔ base, foundation",t,
2063,381,基本,jī," jīběn basic, fundamental, essential",s,
2064,381,基本,jī,"基本 jīběn basic, fundamental, essential",t,
2065,382,派,pài,"faction, send",s,
2066,382,派,pài,"faction, send",t,
2067,382,党派,pài, dǎngpài political parties,s,
2068,382,黨派,pài,黨派 dǎngpài political parties,t,
2069,382,派司,pā," pāsi passport, identification",s,
2070,382,派司,pā,"派司 pāsi passport, identification",t,
2071,383,满,mǎn,full,s,
2072,383,滿,mǎn,full,t,
2073,383,满足,mǎn," mǎnzú satisfied, contented",s,
2074,383,滿足,mǎn,"滿足 mǎnzú satisfied, contented",t,
2075,384,式,shì,(Equivalent:  形式 xíngshì) form,s,
2076,384,式,shì,(Equivalent:  形式 xíngshì) form,t,
2077,384,方式,shì," fāngshì way, pattern",s,
2078,384,方式,shì,"方式 fāngshì way, pattern",t,
2079,384,正式,shì," zhèngshì formal, official",s,
2080,384,正式,shì,"正式 zhèngshì formal, official",t,
2081,385,李,lǐ,"(Equivalent:  李子 lǐzi) plum, <family name>",s,
2082,385,李,lǐ,"(Equivalent:  李子 lǐzi) plum, <family name>",t,
2083,386,息,xī,"breath, stop",s,
2084,386,息,xī,"breath, stop",t,
2085,386,消息,xi, xiāoxi news,s,
2086,386,消息,xi,消息 xiāoxi news,t,
2087,386,休息,xi, xiūxi rest,s,
2088,386,休息,xi,休息 xiūxi rest,t,
2089,387,写,xiě,write,s,
2090,387,寫,xiě,write,t,
2091,387,描写,xiě,"miáoxiě describe, depict",s,
2092,387,描寫,xiě,"描寫 miáoxiě describe, depict",t,
2093,387,写意,xiè,"xiěyǐ freehand brushwork, sketch{Compare with 与 yǔ and}",s,
2094,387,寫意,xiè,"xiěyǐ freehand brushwork, sketch{Compare with 與 yǔ and}",t,
2095,388,呢,ne,<sentence final particle>,s,
2096,388,呢,ne,<sentence final particle>,t,
2097,388,呢,ní,woolen cloth,s,
2098,388,呢,ní,woolen cloth,t,
2099,389,识,shí,know,s,
2100,389,識,shí,know,t,
2101,389,认识,shí," rènshi know, recognize",s,
2102,389,認識,shí,"認識 rènshi know, recognize",t,
2103,389,识别,shí, shíbié tell apart,s,
2104,389,識別,shí,識別 shíbié tell apart,t,
2105,389,识,zhì,"(formal) remember, commit to memory, mark, sign",s,
2106,389,識,zhì,"(formal) remember, commit to memory, mark, sign",t,
2107,390,极,jí,"extreme, pole",s,
2108,390,極,jí,"extreme, pole",t,
2109,390,太极,jí, Tài Jí the Supreme Ultimate (in Chinese cosmology),s,
2110,390,太極,jí,太極 Tài Jí the Supreme Ultimate (in Chinese cosmology),t,
2111,390,太极拳,jí, tǎijíquán shadowboxing,s,
2112,390,太極拳,jí,太極拳 tǎijíquán shadowboxing,t,
2113,391,令,lìng,"make, cause",s,
2114,391,令,lìng,"make, cause",t,
2115,391,命令,lìng, mìnglìng command,s,
2116,391,命令,lìng,命令 mìnglìng command,t,
2117,391,令,lǐng,"ream, <classifier for paper>",s,
2118,391,令,lǐng,"ream, <classifier for paper>",t,
2119,391,脊令,líng, jílíng (Equivalent:  鹡鸰 jílíng) wagtail (a symbol of brotherly friendship),s,
2120,391,脊令,líng, jílíng (Equivalent:  鷸鴒 jílíng) wagtail (a symbol of brotherly friendship),t,
2121,392,黄,huáng,(Equivalent:  黄色 huángsè) yellow,s,
2122,392,黃,huáng,(Equivalent:  黃色 huángsè) yellow,t,
2123,393,德,dé,virtue,s,
2124,393,德,dé,virtue,t,
2125,393,道德,dé, dàodé ethics,s,
2126,393,道德,dé,道德 dàodé ethics,t,
2127,393,德国,dé, Déguó Germany,s,
2128,393,德國,dé,德國 Déguó Germany,t,
2129,394,收,shōu,"gather, (Equivalent:  收到 shōudào) recieve, (Equivalent:  收获 shōuhuò) harvest",s,
2130,394,收,shōu,"gather, (Equivalent:  收到 shōudào) recieve, (Equivalent:  收穫 shōuhuò) harvest",t,
2131,394,收拾,shōu, shōushi put in order,s,
2132,394,收拾,shōu,收拾 shōushi put in order,t,
2133,394,收音机,shōu, shōuyīnjī radio,s,
2134,394,收音機,shōu,收音機 shōuyīnjī radio,t,
2135,395,脸,liǎn,face,s,
2136,395,臉,liǎn,face,t,
2137,396,钱,qián,"money, copper coin",s,
2138,396,錢,qián,"money, copper coin",t,
2139,397,党,dǎng,"(political) party, clique",s,
2140,397,黨,dǎng,"(political) party, clique",t,
2141,397,共产党,dǎng, Gòngchǎndǎng Communist Party,s,
2142,397,共產黨,dǎng,共產黨 Gòngchǎndǎng Communist Party,t,
2143,397,国民党,dǎng, Guómíndǎng Nationalist Party,s,
2144,397,國民黨,dǎng,國民黨 Guómíndǎng Nationalist Party,t,
2145,398,倒,dǎo,"fall down, topple",s,
2146,398,倒,dǎo,"fall down, topple",t,
2147,398,倒,dào,"invert, (move) backwards, pour, contrary to expectations",s,
2148,398,倒,dào,"invert, (move) backwards, pour, contrary to expectations",t,
2149,398,倒,dáo,follow up,s,
2150,398,倒,dáo,follow up,t,
2151,399,未,wèi,"have not, did not",s,
2152,399,未,wèi,"have not, did not",t,
2153,399,未来,wèi, wèilái future{Compare with 末 mò end},s,
2154,399,未來,wèi, wèilái future{Compare with 末 mò end},t,
2155,400,持,chí,hold,s,
2156,400,持,chí,hold,t,
2157,400,坚持,chí," jiānchí persist in, insist on",s,
2158,400,堅持,chí,"堅持 jiānchí persist in, insist on",t,
2159,400,保持,chí," bǎochí keep, maintain, preserve",s,
2160,400,保持,chí,"保持 bǎochí keep, maintain, preserve",t,
2161,401,取,qǔ,"take, get, fetch",s,
2162,401,取,qǔ,"take, get, fetch",t,
2163,402,设,shè,set up,s,
2164,402,設,shè,set up,t,
2165,402,建设,shè," jiànshè build, construct",s,
2166,402,建設,shè,"建設 jiànshè build, construct",t,
2167,402,设计,shè," shèjì design, plan",s,
2168,402,設計,shè,"設計 shèjì design, plan",t,
2169,402,设备,shè," shèbèi equipment, facilities",s,
2170,402,設備,shè,"設備 shèbèi equipment, facilities",t,
2171,403,始,shǐ,"(Equivalent:  开始 kāishǐ) begin, start",s,
2172,403,始,shǐ,"(Equivalent:  開始 kāishǐ) begin, start",t,
2173,403,始终,shǐ, shǐzhōng all along,s,
2174,403,始終,shǐ,始終 shǐzhōng all along,t,
2175,404,版,bǎn,"printing plate, edition",s,
2176,404,版,bǎn,"printing plate, edition",t,
2177,404,出版,bǎn, chūbǎn publish,s,
2178,404,齣版,bǎn,齣版 chūbǎn publish,t,
2179,405,双,shuāng,"pair, twin, double",s,
2180,405,雙,shuāng,"pair, twin, double",t,
2181,405,双方,shuāng, shuāngfāng both sides,s,
2182,405,雙方,shuāng,雙方 shuāngfāng both sides,t,
2183,406,历,lì,(Traditional: 历) 历史 lìshǐ history,s,
2184,406,歷,lì,歷史 lìshǐ history,t,
2185,406,曆,lì,日曆 rìlì calendar{Compare with 厲 lì severe},t,
2186,406,经历,lì," jīnglì experience, (Traditional: 历) 日历 rìlì calendar{Compare with 厉 lì severe}",s,
2187,406,經歷,lì,經歷 jīnglì experience,t,
2188,407,越,yuè,越…越… the more... the more...,s,
2189,407,越,yuè,越…越… the more... the more...,t,
2190,408,史,shǐ,"(Equivalent:  历史 lìshǐ) history, <family name>",s,
2191,408,史,shǐ,"(Equivalent:  歷史 lìshǐ) history, <family name>",t,
2192,408,外史,shǐ,wàishǐ unofficial history{Compare with 吏 lì official and 更 gèng more},s,
2193,408,外史,shǐ,wàishǐ unofficial history{Compare with 吏 lì official and 更 gèng more},t,
2194,409,商,shāng,"discuss, business",s,
2195,409,商,shāng,"discuss, business",t,
2196,410,千,qiān,thousand{Compare with 干 gān stem and 于 yú at},s,
2197,410,千,qiān,thousand{Compare with 干 gān stem and 於 yú at},t,仟
2198,411,片,piàn,slice,s,
2199,411,片,piàn,slice,t,
2200,411,照片,piàn, zhàopiàn photo,s,
2201,411,照片,piàn,照片 zhàopiàn photo,t,
2202,411,片刻,piàn, piànkè moment,s,
2203,411,片刻,piàn,片刻 piànkè moment,t,
2204,411,卡片,piàn, kǎpiàn card,s,
2205,411,卡片,piàn,卡片 kǎpiàn card,t,
2206,411,片,piān,film,s,
2207,411,片,piān,film,t,
2208,412,容,róng,contain,s,
2209,412,容,róng,contain,t,
2210,412,容易,róng, róngyì easy,s,
2211,412,容易,róng,容易 róngyì easy,t,
2212,412,内容,róng, nèiróng content,s,
2213,412,內容,róng,內容 nèiróng content,t,
2214,413,研,yán,"grind, (Equivalent:  研究 yánjiū) study, research",s,
2215,413,研,yán,"grind, (Equivalent:  研究 yánjiū) study, research",t,
2216,414,像,xiàng,"resemble, (Equivalent:  肖像 xiàoxiàng) portrait, image",s,
2217,414,像,xiàng,"resemble, (Equivalent:  肖像 xiàoxiàng) portrait, image",t,
2218,415,找,zhǎo,"look for, seek{Compare with 我 wǒ me}",s,
2219,415,找,zhǎo,"look for, seek{Compare with 我 wǒ me}",t,
2220,416,友,yǒu,(Equivalent:  朋友 péngyǒu) friend,s,
2221,416,友,yǒu,(Equivalent:  朋友 péngyǒu) friend,t,
2222,416,友好,yǒu,yǒuhǎo friendship{Compare with 反 fǎn turn over},s,
2223,416,友好,yǒu,yǒuhǎo friendship{Compare with 反 fǎn turn over},t,
2224,417,孩,hái,"(Equivalent:  孩子 háizi, =小孩儿 xiǎoháir) child",s,
2225,417,孩,hái,"(Equivalent:  孩子 háizi, =小孩兒 xiǎoháir) child",t,
2226,417,女孩儿,hái, nǚháir girl,s,
2227,417,女孩兒,hái,女孩兒 nǚháir girl,t,
2228,418,站,zhàn,stand,s,
2229,418,站,zhàn,stand,t,
2230,418,火车站,zhàn, huǒchēzhàn train station,s,
2231,418,火車站,zhàn,火車站 huǒchēzhàn train station,t,
2232,419,广,guǎng,"wide, extensive",s,
2233,419,廣,guǎng,"wide, extensive",t,
2234,419,广,yǎn,(when referring to the radical),s,
2235,419,廣,yǎn,(when referring to the radical),t,
2236,420,改,gǎi,(Equivalent:  改变 gǎibiàn) change,s,
2237,420,改,gǎi,(Equivalent:  改變 gǎibiàn) change,t,
2238,420,改革,gǎi, gǎigé reform,s,
2239,420,改革,gǎi,改革 gǎigé reform,t,
2240,421,议,yì,"(Equivalent:  议论 yìlùn) discuss, confer",s,
2241,421,議,yì,"(Equivalent:  議論 yìlùn) discuss, confer",t,
2242,421,会议,yì," huìyì meeting, conference",s,
2243,421,會議,yì,"會議 huìyì meeting, conference",t,
2244,421,建议,yì," jiànyì suggest, propose",s,
2245,421,建議,yì,"建議 jiànyì suggest, propose",t,
2246,422,形,xíng,"(Equivalent:  形式 xíngshì) form, shape",s,
2247,422,形,xíng,"(Equivalent:  形式 xíngshì) form, shape",t,
2248,422,形成,xíng," xíngchéng to form, take shape",s,
2249,422,形成,xíng,"形成 xíngchéng to form, take shape",t,
2250,423,委,wěi,委员会 wěiyuánhuì committee,s,
2251,423,委,wěi,委員會 wěiyuánhuì committee,t,
2252,423,委托,wěi, wěituō entrust,s,
2253,423,委托,wěi,委托 wěituō entrust,t,
2254,423,虚与委蛇,wēi, xūyǔwēiyí to pretend interest and sympathy,s,
2255,423,虛與委蛇,wēi,虛與委蛇 xūyǔwēiyí to pretend interest and sympathy,t,
2256,424,早,zǎo,early,s,
2257,424,早,zǎo,early,t,
2258,424,早饭,zǎo, zǎofàn breakfast,s,
2259,424,早飯,zǎo,早飯 zǎofàn breakfast,t,
2260,424,早晨,zǎo, zǎochen morning,s,
2261,424,早晨,zǎo,早晨 zǎochen morning,t,
2262,425,房,fáng,"(Equivalent:  房间 fángjiān) room, (Equivalent:  房子 fángzi) building",s,
2263,425,房,fáng,"(Equivalent:  房間 fángjiān) room, (Equivalent:  房子 fángzi) building",t,
2264,426,音,yīn,(Equivalent:  声音 shēngyīn) sound,s,
2265,426,音,yīn,(Equivalent:  聲音 shēngyīn) sound,t,
2266,426,音乐,yīn, yīnyuè music,s,
2267,426,音樂,yīn,音樂 yīnyuè music,t,
2268,427,火,huǒ,fire,s,
2269,427,火,huǒ,fire,t,
2270,427,火车,huǒ, huǒchē train,s,
2271,427,火車,huǒ,火車 huǒchē train,t,
2272,427,火柴,huǒ, huǒchái match,s,
2273,427,火柴,huǒ,火柴 huǒchái match,t,
2274,427,火焰,huǒ, huǒyàn flame,s,
2275,427,火焰,huǒ,火焰 huǒyàn flame,t,
2276,428,际,jì,(Equivalent:  边际 biānjì) boundary,s,
2277,428,際,jì,(Equivalent:  邊際 biānjì) boundary,t,
2278,428,实际,jì, shíjì reality,s,
2279,428,實際,jì,實際 shíjì reality,t,
2280,428,国际,jì, guójì international,s,
2281,428,國際,jì,國際 guójì international,t,
2282,429,则,zé,(conjunction),s,
2283,429,則,zé,(conjunction),t,
2284,429,原则,zé, yuánzé principle,s,
2285,429,原則,zé,原則 yuánzé principle,t,
2286,429,否则,zé, fǒuzé or else,s,
2287,429,否則,zé,否則 fǒuzé or else,t,
2288,430,首,shǒu,head,s,
2289,430,首,shǒu,head,t,
2290,430,首先,shǒu, shǒuxiān first of all,s,
2291,430,首先,shǒu,首先 shǒuxiān first of all,t,
2292,430,首都,shǒu, shǒudū capital (of a country),s,
2293,430,首都,shǒu,首都 shǒudū capital (of a country),t,
2294,431,单,dān,"alone, single, sheet",s,
2295,431,單,dān,"alone, single, sheet",t,
2296,431,单于,chán, chányú <hist.> chief of the Xiongnu,s,
2297,431,單於,chán,單於 chányú <hist.> chief of the Xiongnu,t,
2298,431,单,Shàn,<family name>,s,
2299,431,單,Shàn,<family name>,t,
2300,432,据,jù,"seize, depend on, (Equivalent:  根据 gēnjù) according to",s,
2301,432,據,jù,"seize, depend on, (Equivalent:  根據 gēnjù) according to",t,
2302,432,拮据,jū," jiéjū short of money, hard up",s,
2303,432,拮據,jū,"拮據 jiéjū short of money, hard up",t,
2304,433,导,dǎo,lead,s,
2305,433,導,dǎo,lead,t,
2306,433,领导,dǎo, lǐngdǎo leader,s,
2307,433,領導,dǎo,領導 lǐngdǎo leader,t,
2308,434,影,yǐng,"shadow, image",s,
2309,434,影,yǐng,"shadow, image",t,
2310,434,电影,yǐng, diànyǐng movie,s,
2311,434,電影,yǐng,電影 diànyǐng movie,t,
2312,435,失,shī,lose,s,
2313,435,失,shī,lose,t,
2314,435,失败,shī,shībài be defeated{Compare with 先 xiān first},s,
2315,435,失敗,shī,shībài be defeated{Compare with 先 xiān first},t,
2316,436,拿,ná,hold,s,
2317,436,拿,ná,hold,t,
2318,436,拿来,ná, nálái bring,s,
2319,436,拿來,ná,拿來 nálái bring,t,
2320,436,拿去,ná, náqù take,s,
2321,436,拿去,ná,拿去 náqù take,t,
2322,436,拿给,ná, nágěi hand over,s,
2323,436,拿給,ná,拿給 nágěi hand over,t,
2324,437,网,wǎng,net,s,
2325,437,網,wǎng,net,t,
2326,437,网球,wǎng, wǎngqiú tennis,s,
2327,437,網球,wǎng,網球 wǎngqiú tennis,t,
2328,437,因特网,wǎng, yīntèwáng Internet,s,
2329,437,因特網,wǎng,因特網 yīntèwáng Internet,t,
2330,438,香,xiāng,"perfume, fragrant",s,
2331,438,香,xiāng,"perfume, fragrant",t,
2332,438,香港,xiāng, Xiānggǎng Hong Kong,s,
2333,438,香港,xiāng,香港 Xiānggǎng Hong Kong,t,
2334,439,似,sì,similar,s,
2335,439,似,sì,similar,t,
2336,439,似乎,sì, sìhu it seems,s,
2337,439,似乎,sì,似乎 sìhu it seems,t,
2338,439,似的,shì, shìde alike,s,
2339,439,似的,shì,似的 shìde alike,t,
2340,440,斯,sī,thus (nowadays used mostly as a phonem in foreign names),s,
2341,440,斯,sī,thus (nowadays used mostly as a phonem in foreign names),t,
2342,440,法西斯,sī, fǎxīsī Fascist,s,
2343,440,法西斯,sī,法西斯 fǎxīsī Fascist,t,
2344,441,专,zhuān,"(Equivalent:  专门 zhuānmén) special, (Equivalent:  专家 zhuānjiā) expert",s,
2345,441,專,zhuān,"(Equivalent:  專門 zhuānmén) special, (Equivalent:  專家 zhuānjiā) expert",t,耑
2346,441,专政,zhuān, zhuānzhèng dictatorship,s,
2347,441,專政,zhuān,專政 zhuānzhèng dictatorship,t,
2348,442,石,shí,"(Equivalent:  石头 shítou) stone, rock",s,
2349,442,石,shí,"(Equivalent:  石頭 shítou) stone, rock",t,
2350,442,石,dàn,unit of grain{Compare with 右 yòu right},s,
2351,442,石,dàn,unit of grain{Compare with 右 yòu right},t,
2352,443,若,ruò,"seem, as if",s,
2353,443,若,ruò,"seem, as if",t,
2354,443,假若,ruò, jiǎruò if,s,
2355,443,假若,ruò,假若 jiǎruò if,t,
2356,443,若干,ruò, ruògān how much?,s,
2357,443,若干,ruò,若干 ruògān how much?,t,
2358,443,般若,rě," bōrě buddhist widom, prajna",s,
2359,443,般若,rě,"般若 bōrě buddhist widom, prajna",t,
2360,444,兵,bīng,(Equivalent:  士兵 shìbīng) soldier,s,
2361,444,兵,bīng,(Equivalent:  士兵 shìbīng) soldier,t,
2362,444,兵力,bīng, bīnglì military strength,s,
2363,444,兵力,bīng, bīnglì military strength,t,
2364,445,弟,dì,(Equivalent:  弟弟 dìdi) younger brother,s,
2365,445,弟,dì,(Equivalent:  弟弟 dìdi) younger brother,t,
2366,445,弟,tì,(Equivalent:  悌),s,
2367,445,弟,tì,(Equivalent:  悌),t,
2368,446,谁,shuí,who?,s,
2369,446,誰,shuí,who?,t,
2370,446,谁,shéi,who?,s,
2371,446,誰,shéi,who?,t,
2372,447,校,xiào,(Equivalent:  学校 xuéxiào) school,s,
2373,447,校,xiào,(Equivalent:  學校 xuéxiào) school,t,
2374,447,校对,jiào,"(Equivalent:  校对 jiàoduì, 校正 jiàozhèng) proofread",s,
2375,447,校對,jiào,"(Equivalent:  校對 jiàoduì, 校正 jiàozhèng) proofread",t,
2376,448,读,dú,read,s,
2377,448,讀,dú,read,t,
2378,448,读,dòu,pause in reading,s,
2379,448,讀,dòu,pause in reading,t,
2380,449,志,zhì,"(Equivalent:  意志 yìzhì) will, (Equivalent:  标志 biāozhì) mark",s,
2381,449,誌,zhì,"(Equivalent:  意誌 yìzhì) will, (Equivalent:  標誌 biāozhì) mark",t,
2382,449,誌,zhì,雜誌 zázhì magazine,t,
2383,449,同志,zhì," tóngzhì comrade, (Traditional: 志) 杂志 zázhì magazine",s,
2384,449,衕誌,zhì,衕誌 tóngzhì comrade,t,
2385,450,飞,fēi,fly,s,
2386,450,飛,fēi,fly,t,
2387,450,飞机,fēi, fēijī airplane,s,
2388,450,飛機,fēi,飛機 fēijī airplane,t,
2389,451,观,guān,"view, contemplation",s,
2390,451,觀,guān,"view, contemplation",t,
2391,451,道观,guàn, Dàoguàn Daoist temple,s,
2392,451,道觀,guàn,道觀 Dàoguàn Daoist temple,t,
2393,452,争,zhēng,"contend, dispute",s,
2394,452,爭,zhēng,"contend, dispute",t,
2395,452,战争,zhēng," zhànzhēng war, warfare",s,
2396,452,戰爭,zhēng,"戰爭 zhànzhēng war, warfare",t,
2397,452,斗争,zhēng," dòuzhēng fight, struggle",s,
2398,452,鬥爭,zhēng,"鬥爭 dòuzhēng fight, struggle",t,
2399,453,究,jiū,"研究 yánjiū study, research",s,
2400,453,究,jiū,"研究 yánjiū study, research",t,
2401,453,究竟,jiū, jiūjìng after all,s,
2402,453,究竟,jiū,究竟 jiūjìng after all,t,
2403,454,包,bāo,"bag, wrap",s,
2404,454,包,bāo,"bag, wrap",t,
2405,455,组,zǔ,"organize, group",s,
2406,455,組,zǔ,"organize, group",t,
2407,455,组织,zǔ," zǔzhī organization, organize, form",s,
2408,455,組織,zǔ,"組織 zǔzhī organization, organize, form",t,
2409,456,造,zào,"(Equivalent:  制造 zhìzào) manufacture, (Equivalent:  创造 chuàngzào) create",s,
2410,456,造,zào,"(Equivalent:  製造 zhìzào) manufacture, (Equivalent:  創造 chuàngzào) create",t,
2411,457,落,luò,fall,s,
2412,457,落,luò,fall,t,
2413,457,落,là,be missing,s,
2414,457,落,là,be missing,t,
2415,457,落色,lào, làoshǎi fade (in colour),s,
2416,457,落色,lào,落色 làoshǎi fade (in colour),t,
2417,457,空落落,luō," kōngluōluō absolutely nothing left, open/spacious and desolate",s,
2418,457,空落落,luō,"空落落 kōngluōluō absolutely nothing left, open/spacious and desolate",t,
2419,458,视,shì,look,s,
2420,458,視,shì,look,t,
2421,458,电视,shì, diànshì television,s,
2422,458,電視,shì,電視 diànshì television,t,
2423,459,济,jì,经济 jīngjì economy,s,
2424,459,濟,jì,經濟 jīngjì economy,t,
2425,459,救济,jì, jiùjì help disaster victims,s,
2426,459,救濟,jì,救濟 jiùjì help disaster victims,t,
2427,459,济济,jǐ," jǐjǐ multitudinous, numerous, magnificent",s,
2428,459,濟濟,jǐ,"濟濟 jǐjǐ multitudinous, numerous, magnificent",t,
2429,460,喜,xǐ,happiness,s,
2430,460,喜,xǐ,happiness,t,
2431,460,喜欢,xǐ, xǐhuān like,s,
2432,460,喜歡,xǐ,喜歡 xǐhuān like,t,
2433,461,离,lí,"(Equivalent:  离开 líkāi) leave, from",s,
2434,461,離,lí,"(Equivalent:  離開 líkāi) leave, from",t,
2435,462,虽,suī,(Equivalent:  虽然 suīrán) although,s,
2436,462,雖,suī,(Equivalent:  雖然 suīrán) although,t,
2437,463,坐,zuò,"seat, sit, travel by (car/plane/etc.), put a kettle (or similar) on the fire, <classifier for bridges, buildings, etc.>",s,
2438,463,坐,zuò,"seat, sit, travel by (car/plane/etc.), put a kettle (or similar) on the fire, <classifier for bridges, buildings, etc.>",t,
2439,463,请坐,zuò, qǐngzuòplease have a seat,s,
2440,463,請坐,zuò,請坐 qǐngzuòplease have a seat,t,
2441,463,坐公共汽车,zuò, zuò gōngòng qìchē ride a bus,s,
2442,463,坐公共汽車,zuò,坐公共汽車 zuò gōngòng qìchē ride a bus,t,
2443,464,集,jí,(Equivalent:  收集 shōují) collect,s,
2444,464,集,jí,(Equivalent:  收集 shōují) collect,t,
2445,464,集中,jí, jízhōng centralize,s,
2446,464,集中,jí,集中 jízhōng centralize,t,
2447,465,编,biān,"weave, organize, (Equivalent:  编辑 biānjí) edit",s,
2448,465,編,biān,"weave, organize, (Equivalent:  編輯 biānjí) edit",t,
2449,466,宝,bǎo,treasure,s,
2450,466,寶,bǎo,treasure,t,
2451,467,谈,tán,talk,s,
2452,467,談,tán,talk,t,
2453,468,府,fǔ,政府 zhèngfǔ government,s,
2454,468,府,fǔ,政府 zhèngfǔ government,t,
2455,469,拉,lā,"pull, drag, haul",s,
2456,469,拉,lā,"pull, drag, haul",t,
2457,469,半拉,lǎ, bànlǎ half,s,
2458,469,半拉,lǎ,半拉 bànlǎ half,t,
2459,469,拉,lá,slit,s,
2460,469,拉,lá,slit,t,
2461,469,拉拉蛄,là, làlagù mole cricket,s,
2462,469,拉拉蛄,là,拉拉蛄 làlagù mole cricket,t,
2463,470,黑,hēi,(Equivalent:  黑色 hēisè) black,s,
2464,470,黑,hēi,(Equivalent:  黑色 hēisè) black,t,
2465,470,黑暗,hēi, hēi'àn dark,s,
2466,470,黑暗,hēi,黑暗 hēi'àn dark,t,
2467,471,且,qiě,for the time being,s,
2468,471,且,qiě,for the time being,t,
2469,471,而且,qiě, érqiě furthermore,s,
2470,471,而且,qiě,而且 érqiě furthermore,t,
2471,471,且,jū,(only used some personal names),s,
2472,471,且,jū,(only used some personal names),t,
2473,472,随,suí,follow,s,
2474,472,隨,suí,follow,t,
2475,472,随便,suí, suíbiàn as you like,s,
2476,472,隨便,suí,隨便 suíbiàn as you like,t,
2477,473,格,gé,"check, pattern, standard",s,
2478,473,格,gé,"check, pattern, standard",t,
2479,473,格外,gé, géwài especially,s,
2480,473,格外,gé,格外 géwài especially,t,
2481,473,格,gē,"<the sound of laughter, clicking of a hen>, chuckel",s,
2482,473,格,gē,"<the sound of laughter, clicking of a hen>, chuckel",t,
2483,474,盡,jìn,use up,t,
2484,474,尽,jìn,(Traditional: 尽) use up,s,
2485,474,盡,jìn,use up,t,
2486,474,儘,jǐn,to max extent,t,
2487,474,尽,jǐn,(Traditional: 尽) to max extent,s,
2488,474,尽管,jǐn, jǐnguǎn even though,s,
2489,474,儘管,jǐn,儘管 jǐnguǎn even though,t,
2490,475,剑,jiàn,sword,s,
2491,475,劍,jiàn,sword,t,
2492,475,宝剑,jiàn, bǎojiàn double-edged sword,s,
2493,475,寶劍,jiàn,寶劍 bǎojiàn double-edged sword,t,
2494,476,讲,jiǎng,"speak, explain, discuss, stress",s,
2495,476,講,jiǎng,"speak, explain, discuss, stress",t,
2496,477,布,bù,"cloth, spread",s,
2497,477,布,bù,"cloth, spread",t,
2498,478,杀,shā,"kill, fight, weaken, reduce, burn (of medicine)",s,
2499,478,殺,shā,"kill, fight, weaken, reduce, burn (of medicine)",t,
2500,479,微,wēi,"tiny, micro",s,
2501,479,微,wēi,"tiny, micro",t,
2502,479,微笑,wēi, wēixiào smile,s,
2503,479,微笑,wēi,微笑 wēixiào smile,t,
2504,480,怕,pà,(Equivalent:  害怕 hàipà) to fear,s,
2505,480,怕,pà,(Equivalent:  害怕 hàipà) to fear,t,
2506,480,可怕,pà, kěpà horrible,s,
2507,480,可怕,pà,可怕 kěpà horrible,t,
2508,481,母,mǔ,(Equivalent:  母亲 mǔqin) mother,s,
2509,481,母,mǔ,(Equivalent:  母親 mǔqin) mother,t,
2510,481,父母,mǔ, fùmǔ parents,s,
2511,481,父母,mǔ,父母 fùmǔ parents,t,
2512,481,字母,mǔ, zìmǔ letters of an alpabet,s,
2513,481,字母,mǔ,字母 zìmǔ letters of an alpabet,t,
2514,482,调,diào,"shift, tone",s,
2515,482,調,diào,"shift, tone",t,
2516,482,调,tiáo,adjust,s,
2517,482,調,tiáo,adjust,t,
2518,483,局,jú,"department, situation",s,
2519,483,局,jú,"department, situation",t,
2520,483,邮局,jú, yóujú post office,s,
2521,483,郵局,jú,郵局 yóujú post office,t,
2522,484,根,gēn,root,s,
